date,trial_number,side,substrate,subtrial,times_chosen,land,approach,indifferent,trial_type,comparison,landBlack,landWhite,,,
20-Jul,3,right,GZ,1,0,0,8,1,skin,GZ_IM,NA,NA,,,
20-Jul,3,right,GZ,2,0,0,8,4,skin,GZ_IM,NA,NA,,,
20-Jul,3,right,GZ,3,3,3,7,5,skin,GZ_IM,3,0,,,
20-Jul,3,right,GZ,4,1,1,8,4,skin,GZ_IM,1,0,,,59
20-Jul,3,right,GZ,5,1,1,7,5,skin,GZ_IM,0,1,,,
20-Jul,3,right,GZ,6,0,0,7,6,skin,GZ_IM,NA,NA,,,
20-Jul,3,right,GZ,7,0,0,4,4,skin,GZ_IM,NA,NA,,,
20-Jul,3,right,GZ,8,1,1,5,6,skin,GZ_IM,1,0,,,
20-Jul,3,right,GZ,9,0,0,4,8,skin,GZ_IM,NA,NA,,,
20-Jul,3,right,GZ,10,0,0,4,8,skin,GZ_IM,NA,NA,,,
20-Jul,4,left,GZ,1,0,0,3,2,skin,GZ_IM,NA,NA,,,
20-Jul,4,left,GZ,2,0,0,1,3,skin,GZ_IM,NA,NA,,,
20-Jul,4,left,GZ,3,0,0,3,3,skin,GZ_IM,NA,NA,,,
20-Jul,4,left,GZ,4,0,0,3,1,skin,GZ_IM,NA,NA,,,
20-Jul,4,left,GZ,5,0,0,2,1,skin,GZ_IM,NA,NA,,,
20-Jul,4,left,GZ,6,1,1,3,0,skin,GZ_IM,0,1,,,
20-Jul,4,left,GZ,7,0,0,2,0,skin,GZ_IM,NA,NA,,,
20-Jul,4,left,GZ,8,1,1,2,0,skin,GZ_IM,1,0,,,
20-Jul,4,left,GZ,9,1,1,1,2,skin,GZ_IM,0,1,,,
20-Jul,4,left,GZ,10,3,3,1,3,skin,GZ_IM,2,1,,,
20-Jul,5,left,GZ,1,1,1,8,0,skin,GZ_PZ,1,0,,,
20-Jul,5,left,GZ,2,0,0,5,3,skin,GZ_PZ,NA,NA,,,
20-Jul,5,left,GZ,3,1,1,4,2,skin,GZ_PZ,1,0,,,
20-Jul,5,left,GZ,4,0,0,5,1,skin,GZ_PZ,NA,NA,,,
20-Jul,5,left,GZ,5,0,0,4,0,skin,GZ_PZ,NA,NA,,,
20-Jul,5,left,GZ,6,0,0,3,3,skin,GZ_PZ,NA,NA,,,
20-Jul,5,left,GZ,7,2,2,5,2,skin,GZ_PZ,2,0,,,
20-Jul,5,left,GZ,8,2,2,7,0,skin,GZ_PZ,2,0,,,
20-Jul,5,left,GZ,9,0,0,5,3,skin,GZ_PZ,NA,NA,,,
20-Jul,5,left,GZ,10,1,1,4,0,skin,GZ_PZ,1,0,,,
20-Jul,6,right,GZ,1,1,1,6,0,skin,GZ_PZ,0,1,,,
20-Jul,6,right,GZ,2,1,1,7,3,skin,GZ_PZ,0,1,,,
20-Jul,6,right,GZ,3,1,1,4,3,skin,GZ_PZ,1,0,,,
20-Jul,6,right,GZ,4,1,1,5,4,skin,GZ_PZ,0,1,,,
20-Jul,6,right,GZ,5,0,0,8,1,skin,GZ_PZ,NA,NA,,,
20-Jul,6,right,GZ,6,1,1,4,2,skin,GZ_PZ,1,0,,,
20-Jul,6,right,GZ,7,0,0,6,0,skin,GZ_PZ,NA,NA,,,
20-Jul,6,right,GZ,8,0,0,6,4,skin,GZ_PZ,NA,NA,,,
20-Jul,6,right,GZ,9,1,1,7,0,skin,GZ_PZ,1,0,,,
20-Jul,6,right,GZ,10,1,1,6,3,skin,GZ_PZ,0,1,,,
21-Jul,9,right,GZ,1,0,0,1,2,skin,GZ_IM,NA,NA,,,
21-Jul,9,right,GZ,2,1,1,3,1,skin,GZ_IM,0,1,,,
21-Jul,9,right,GZ,3,2,2,3,1,skin,GZ_IM,2,0,,,
21-Jul,9,right,GZ,4,0,0,2,0,skin,GZ_IM,NA,NA,,,
21-Jul,9,right,GZ,5,0,0,2,0,skin,GZ_IM,NA,NA,,,
21-Jul,9,right,GZ,6,0,0,2,0,skin,GZ_IM,NA,NA,,,
21-Jul,9,right,GZ,7,1,1,2,0,skin,GZ_IM,1,0,,,
21-Jul,9,right,GZ,8,0,0,2,0,skin,GZ_IM,NA,NA,,,
21-Jul,9,right,GZ,9,1,1,4,0,skin,GZ_IM,1,0,,,
21-Jul,9,right,GZ,10,1,1,1,0,skin,GZ_IM,1,0,,,
21-Jul,10,left,GZ,1,2,2,5,1,skin,GZ_IM,2,0,,,
21-Jul,10,left,GZ,2,1,1,6,1,skin,GZ_IM,1,0,,,
21-Jul,10,left,GZ,3,0,0,2,4,skin,GZ_IM,NA,NA,,,
21-Jul,10,left,GZ,4,2,2,2,0,skin,GZ_IM,1,1,,,
21-Jul,10,left,GZ,5,0,0,3,2,skin,GZ_IM,NA,NA,,,
21-Jul,10,left,GZ,6,1,1,5,3,skin,GZ_IM,1,0,,,
21-Jul,10,left,GZ,7,0,0,6,3,skin,GZ_IM,NA,NA,,,
21-Jul,10,left,GZ,8,1,1,4,3,skin,GZ_IM,1,0,,,
21-Jul,10,left,GZ,9,1,1,5,3,skin,GZ_IM,1,0,,,
21-Jul,10,left,GZ,10,1,1,5,1,skin,GZ_IM,1,0,,,
21-Jul,11,left,GZ,1,5,5,3,2,skin,GZ_PZ,2,3,,,
21-Jul,11,left,GZ,2,1,1,4,3,skin,GZ_PZ,0,1,,,
21-Jul,11,left,GZ,3,2,2,3,3,skin,GZ_PZ,0,2,,,
21-Jul,11,left,GZ,4,1,1,3,3,skin,GZ_PZ,0,1,,,
21-Jul,11,left,GZ,5,2,2,2,2,skin,GZ_PZ,2,0,,,
21-Jul,11,left,GZ,6,2,2,5,1,skin,GZ_PZ,2,0,,,
21-Jul,11,left,GZ,7,3,3,4,3,skin,GZ_PZ,3,0,,,
21-Jul,11,left,GZ,8,2,2,7,2,skin,GZ_PZ,2,0,,,
21-Jul,11,left,GZ,9,2,2,4,3,skin,GZ_PZ,2,0,,,
21-Jul,11,left,GZ,10,0,0,3,4,skin,GZ_PZ,NA,NA,,,
21-Jul,12,right,GZ,1,2,2,4,2,skin,GZ_PZ,2,0,,,
21-Jul,12,right,GZ,2,1,1,5,2,skin,GZ_PZ,1,0,,,
21-Jul,12,right,GZ,3,1,1,5,2,skin,GZ_PZ,1,0,,,
21-Jul,12,right,GZ,4,1,1,6,2,skin,GZ_PZ,1,0,,,
21-Jul,12,right,GZ,5,3,3,6,1,skin,GZ_PZ,1,2,,,
21-Jul,12,right,GZ,6,0,0,7,2,skin,GZ_PZ,NA,NA,,,
21-Jul,12,right,GZ,7,2,2,5,2,skin,GZ_PZ,1,1,,,
21-Jul,12,right,GZ,8,3,3,4,2,skin,GZ_PZ,2,1,,,
21-Jul,12,right,GZ,9,3,3,6,1,skin,GZ_PZ,1,NA,,,
21-Jul,12,right,GZ,10,1,1,6,1,skin,GZ_PZ,1,0,,,
21-Jul,15,right,GZ,1,1,1,4,3,skin,GZ_IM,1,0,,,
21-Jul,15,right,GZ,2,2,2,5,3,skin,GZ_IM,1,1,,,
21-Jul,15,right,GZ,3,2,2,3,1,skin,GZ_IM,2,0,,,
21-Jul,15,right,GZ,4,1,1,4,1,skin,GZ_IM,1,0,,,
21-Jul,15,right,GZ,5,2,2,3,1,skin,GZ_IM,2,0,,,
21-Jul,15,right,GZ,6,3,3,2,0,skin,GZ_IM,2,1,,,
21-Jul,15,right,GZ,7,1,1,4,0,skin,GZ_IM,1,0,,,
21-Jul,15,right,GZ,8,2,2,4,3,skin,GZ_IM,2,0,,,
21-Jul,15,right,GZ,9,2,2,5,1,skin,GZ_IM,1,1,,,
21-Jul,15,right,GZ,10,3,3,4,1,skin,GZ_IM,2,1,,,
21-Jul,16,left,GZ,1,1,1,2,3,skin,GZ_IM,1,0,,,
21-Jul,16,left,GZ,2,1,1,3,2,skin,GZ_IM,1,0,,,
21-Jul,16,left,GZ,3,0,0,3,2,skin,GZ_IM,NA,NA,,,
21-Jul,16,left,GZ,4,1,1,3,2,skin,GZ_IM,1,0,,,
21-Jul,16,left,GZ,5,1,1,3,2,skin,GZ_IM,1,0,,,
21-Jul,16,left,GZ,6,1,1,3,1,skin,GZ_IM,1,0,,,
21-Jul,16,left,GZ,7,0,0,3,1,skin,GZ_IM,NA,NA,,,
21-Jul,16,left,GZ,8,0,0,4,1,skin,GZ_IM,NA,NA,,,
21-Jul,16,left,GZ,9,1,1,3,1,skin,GZ_IM,1,0,,,
21-Jul,16,left,GZ,10,1,1,3,2,skin,GZ_IM,1,0,,,
21-Jul,17,left,GZ,1,3,3,5,1,skin,GZ_PZ,2,1,,,
21-Jul,17,left,GZ,2,1,1,4,1,skin,GZ_PZ,1,0,,,
21-Jul,17,left,GZ,3,1,1,3,0,skin,GZ_PZ,1,0,,,
21-Jul,17,left,GZ,4,0,0,4,1,skin,GZ_PZ,NA,NA,,,
21-Jul,17,left,GZ,5,2,2,4,2,skin,GZ_PZ,0,2,,,
21-Jul,17,left,GZ,6,0,0,6,2,skin,GZ_PZ,NA,NA,,,
21-Jul,17,left,GZ,7,0,0,6,1,skin,GZ_PZ,NA,NA,,,
21-Jul,17,left,GZ,8,0,0,5,2,skin,GZ_PZ,NA,NA,,,
21-Jul,17,left,GZ,9,2,2,5,2,skin,GZ_PZ,0,2,,,
21-Jul,17,left,GZ,10,0,0,5,2,skin,GZ_PZ,NA,NA,,,
21-Jul,18,right,GZ,1,3,3,4,1,skin,GZ_PZ,2,1,,,
21-Jul,18,right,GZ,2,1,1,3,2,skin,GZ_PZ,1,0,,,
21-Jul,18,right,GZ,3,3,3,4,2,skin,GZ_PZ,2,1,,,
21-Jul,18,right,GZ,4,1,1,5,2,skin,GZ_PZ,1,0,,,
21-Jul,18,right,GZ,5,1,1,4,2,skin,GZ_PZ,1,0,,,
21-Jul,18,right,GZ,6,2,2,4,3,skin,GZ_PZ,2,0,,,
21-Jul,18,right,GZ,7,3,3,4,1,skin,GZ_PZ,3,0,,,
21-Jul,18,right,GZ,8,3,3,5,0,skin,GZ_PZ,2,1,,,
21-Jul,18,right,GZ,9,3,3,4,3,skin,GZ_PZ,3,0,,,
21-Jul,18,right,GZ,10,3,3,4,2,skin,GZ_PZ,2,1,,,
22-Jul,21,right,GZ,1,2,2,5,3,skin,GZ_IM,0,2,,,
22-Jul,21,right,GZ,2,1,1,4,4,skin,GZ_IM,1,0,,,
22-Jul,21,right,GZ,3,0,0,5,3,skin,GZ_IM,NA,NA,,,
22-Jul,21,right,GZ,4,2,2,7,2,skin,GZ_IM,2,0,,,
22-Jul,21,right,GZ,5,2,2,7,1,skin,GZ_IM,2,0,,,
22-Jul,21,right,GZ,6,3,3,7,3,skin,GZ_IM,3,0,,,
22-Jul,21,right,GZ,7,4,4,5,3,skin,GZ_IM,3,1,,,
22-Jul,21,right,GZ,8,3,3,5,3,skin,GZ_IM,3,0,,,
22-Jul,21,right,GZ,9,3,3,6,1,skin,GZ_IM,2,1,,,
22-Jul,21,right,GZ,10,2,2,7,1,skin,GZ_IM,2,0,,,
22-Jul,22,left,GZ,1,1,1,3,2,skin,GZ_IM,1,0,,,
22-Jul,22,left,GZ,2,1,1,3,1,skin,GZ_IM,1,0,,,
22-Jul,22,left,GZ,3,1,1,4,0,skin,GZ_IM,1,0,,,
22-Jul,22,left,GZ,4,1,1,4,0,skin,GZ_IM,0,1,,,
22-Jul,22,left,GZ,5,1,1,3,1,skin,GZ_IM,1,0,,,
22-Jul,22,left,GZ,6,1,1,4,0,skin,GZ_IM,1,0,,,
22-Jul,22,left,GZ,7,1,1,4,2,skin,GZ_IM,1,0,,,
22-Jul,22,left,GZ,8,2,2,2,2,skin,GZ_IM,2,0,,,
22-Jul,22,left,GZ,9,2,2,3,0,skin,GZ_IM,2,0,,,
22-Jul,22,left,GZ,10,1,1,4,0,skin,GZ_IM,1,0,,,
22-Jul,23,left,GZ,1,3,3,2,0,skin,GZ_PZ,2,1,,,
22-Jul,23,left,GZ,2,3,3,4,0,skin,GZ_PZ,2,1,,,
22-Jul,23,left,GZ,3,2,2,3,1,skin,GZ_PZ,2,0,,,
22-Jul,23,left,GZ,4,2,2,2,2,skin,GZ_PZ,2,0,,,
